Hispanic,African-American,White ,Asian-American,,,,
ISABELLA,331,35,160,67,593,,,
SOPHIA,223,30,180,119,552,,,
OLIVIA,86,52,213,89,440,,,
EMMA,114,15,213,75,417,,,
MIA,229,36,116,36,417,,,
EMILY,162,30,116,93,401,,,
MADISON,122,176,57,19,374,,,
LEAH,123,39,183,16,361,,,
SARAH,53,40,177,38,308,,,
SOFIA,165,0,122,19,306,,,
ASHLEY,190,16,20,52,278,,,
VICTORIA,114,36,84,22,256,,,
SAMANTHA,100,27,74,27,228,,,
ZOE,65,43,81,25,214,,,
GABRIELLA,86,24,102,0,212,,,
HAILEY,126,31,34,16,207,,,
KAYLA,62,78,45,21,206,,,
ELIZABETH,63,22,100,15,200,,,
BRIANNA,114,38,32,13,197,,,
MAYA,49,25,94,27,195,,,
